,,Código,, Descrição,NCM,,ICMS,,Unid.,,QTD.,,Vlr Unit.,,,Vlr.Total
,52778,, METRONIDAZOL GEL VAG 10APL 50G,,,30049099,,Subs. Trib,,UN,,2,,15.05,30.1,
,57465,, MICONAZOL 20MG/G CR DERM 28G,,,30049066,,Subs. Trib,,UN,,4,,5.47,21.88,
,86773,, MICONAZOL CR VAG 14APL 80G,,,30049099,,Subs. Trib,,UN,,2,,12.88,25.76,
,86182,," MICROVLAR 0,15MG+0,03MG 63DRG",,,30066000,,Subs. Trib,,UN,,8,,8.13,65.04,
,67,, MINANCORA POM DERM 30G,,,30049099,,Subs. Trib,,UN,,2,,15.76,31.52,
,86142,," MINILAX PED SOL RETAL 7BIS 6,5",,,30049099,,Subs. Trib,,UN,,2,,51.78,103.56,
,85413,," MINILAX SOL RETAL 7BISN 6,5G",,,30049099,,Subs. Trib,,UN,,1,,48.62,48.62,
,88128,, MINOXIDIL 50MG/ML SPR 100ML,,,30049099,,Subs. Trib,,UN,,1,,42.18,42.18,
,86686,, MINOXIDIL 50MG/ML SPR 50ML,,,30049099,,Subs. Trib,,UN,,1,,28.78,28.78,
,41530,, MIOSAN 10MG 10CP REV,,,30049039,,Subs. Trib,,UN,,1,,9.1,9.1,
,41529,, MIOSAN 5MG 10CP REV,,,30049039,,Subs. Trib,,UN,,2,,11.07,22.14,
,41549,, MIOSAN CAF 10MG+60MG 15CP REV,,,30049039,,Subs. Trib,,UN,,1,,26.09,26.09,
,41548,, MIOSAN CAF 5MG+30MG 15CP REV,,,30049039,,Subs. Trib,,UN,,1,,25.12,25.12,
,85630,, MIRACALCIO 500MG+400UI 60CP,,,30049099,,Subs. Trib,,UN,,4,,22.3,89.2,
,42106,, MIRTAX 5MG 15CP REV,,,30049039,,Subs. Trib,,UN,,2,,17.86,35.72,
,32455,, MIRUGELL COL 5ML,,,30049099,,Subs. Trib,,UN,,3,,19.98,59.94,
,20710,, MOMETASONA 1MG/G CR DERM 20G,,,30049099,,Subs. Trib,,UN,,3,,14.54,43.62,
,86169,, MOMETASONA 50MCG SPR 60D,,,30049099,,Subs. Trib,,UN,,2,,24.91,49.82,
,32641,, MONONITRATO DE ISOSSORBIDA 20,,,30049099,,Subs. Trib,,UN,,1,,7.23,7.23,
,32919,, MONTELUCASTE DE SOD 10MG 10CP,,,30049079,,Subs. Trib,,UN,,2,,12.4,24.8,
,31046,, MONTELUCASTE DE SOD 10MG 30CP,,,30049069,,Subs. Trib,,UN,,1,,61.37,61.37,
,85504,, MONTELUCASTE DE SOD 10MG 30CP,,,30049069,,Subs. Trib,,UN,,1,,15.73,15.73,
,88072,, MONTELUCASTE DE SOD 4MG 30CP,,,30049099,,Subs. Trib,,UN,,3,,12.03,36.09,
,88073,, MONTELUCASTE DE SOD 5MG 30CP,,,30049099,,Subs. Trib,,UN,,13,,13.27,172.51,
,55254,," MONURIL 5,631G/G 1ENV 8G GRAN",,,30042099,,Subs. Trib,,UN,,2,,63.87,127.74,
,18616,, MOTIRIDONA 10MG 60CP,,,30049099,,Subs. Trib,,UN,,5,,5.86,29.3,
,22089,, MUCOFAN 50MG/ML XPE AD 100ML,,,30049057,,Subs. Trib,,UN,,2,,16.93,33.86,
,88854,, MUCOS EXPEC 40MG/ML XPE 120ML,,,30049059,,Subs. Trib,,UN,,4,,11.69,46.76,
,14429,, MUD ORAL POM BUC 10G,,,30049099,,Subs. Trib,,UN,,1,,17.17,17.17,
,88442,, MULTI-BI 495MG 10CAP,,,21069030,,Subs. Trib,,UN,,1,,78.2,78.2,
,39364,, MULTIGRIP 20CAP,,,30049045,,Subs. Trib,,UN,,6,,14.89,89.34,
,87424,, MULTIPIRAL 50MG/ML LIQ 100ML,,,30049099,,Subs. Trib,,UN,,5,,6.03,30.15,
,57506,, MUPIROCINA 20MG/G POM DERM 15G,,,30049069,,Subs. Trib,,UN,,1,,23.92,23.92,
,14240,, MUSCULARE 10MG 15CP REV,,,30049039,,Subs. Trib,,UN,,1,,17.66,17.66,
,14243,, MUSCULARE 5MG 15CP REV,,,30049039,,Subs. Trib,,UN,,2,,16.96,33.92,
,28869,, MUVINLAX PO OR LIMAO 20SAC 14G,,,30049099,,Subs. Trib,,UN,,1,,54.01,54.01,
,13627,, MYLANTA PLUS MENT LIQ 240ML,,,30049099,,Subs. Trib,,UN,,2,,50.12,100.24,
,85156,, MYRAFER 100MG/ML GTS 30ML,,,30049099,,Subs. Trib,,UN,,2,,38.55,77.1,
,21744,, NARIDRIN GTS NAS AD 15ML,,,30043929,,Subs. Trib,,UN,,2,,7.12,14.24,
,21745,, NARIDRIN GTS NAS PED 15ML,,,30043929,,Subs. Trib,,UN,,2,,6.34,12.68,
,85061,," NASONEW 0,9% SPR 50ML",,,30049099,,Subs. Trib,,UN,,5,,6.53,32.65,
,85835,, NASONEX 50MCG SPR 60DOS,,,30049099,,Subs. Trib,,UN,,1,,41.37,41.37,
,87142,, NATURELEV GELEIA AME 150G,,,21069030,,Subs. Trib,,UN,,1,,28.47,28.47,
,88344,, NATURELEV GELEIA AME 250G,,,21069030,,Subs. Trib,,UN,,1,,35.03,35.03,
,9496,," NATURETTI 28,9MG+19,5MG 16CAP",,,30049099,,Subs. Trib,,UN,,1,,38.76,38.76,
,88545,, NAUCLOZ 50MG 15CP OROD,,,30049099,,Subs. Trib,,UN,,2,,37.05,74.1,
,88521,, NAUSICALM 50MG 10CAP GEL MOLE,,,30049099,,Subs. Trib,,UN,,3,,8.78,26.34,
,22198,, NAUSICALM B6 GTS 20ML,,,30044990,,Subs. Trib,,UN,,4,,6.1,24.4,
,41671,, NEBACETIN POM DERM 15G,,,30042099,,Subs. Trib,,UN,,1,,25.78,25.78,
,78443,, NEBIVOLOL 5MG 30CP,,,30049039,,Subs. Trib,,UN,,2,,14.48,28.96,
,86961,, NEBIVOLOL 5MG 30CP,,,30049099,,Subs. Trib,,UN,,2,,15.12,30.24,
,85580,, NENE DENT GEL OR 10G,,,30049099,,Subs. Trib,,UN,,9,,19.29,173.61,
,43631,, NEO FEDIPINA 10MG 30CP,,,30049062,,Subs. Trib,,UN,,1,,18.32,18.32,
,43632,, NEO FEDIPINA 20MG 30CP,,,30049099,,Subs. Trib,,UN,,3,,9.37,28.11,
,43907,, NEOCOFLAN AER TOP 85ML,,,30049037,,Subs. Trib,,UN,,3,,14.22,42.66,
,87098,, NEOCOPAN COMP GTS 10ML,,,30049099,,Subs. Trib,,UN,,1,,7.82,7.82,
