,,DROGAMAIS - >> DROGAMAIS - CENTRAL,,,,,,,,,,,,,Data:,,,,,,,,04/11/2026,,,,,
,,Grupo Filial:,,,, TODOS OS GRUPOS,,,,,,,,,Hora:,,,,,,,,01/01/1970 19:31:53,,,,,
,,Filial:,,,, >> DROGAMAIS - PARQUE SOLEDADE,,,,,,,,,Seleção I:,,(ESTOQUE MENOR QUE O ESTOQUE MÍNIMO),,,,,,,,,,,
,,Forne.:,,,, TODOS,,,,,,,,,Seleção II:,,Reposição de Vendas,,,,,,,,,,,
,,Grupo Prod.:,,,, VÁRIOS,,,,,,,,,Seleção III:,,Vendas,,,,,,,,,,,
,,Labor.:,,,, TODOS,,,,,,,,,Seleção IV:,,Considerar Saldo em Estoque,,,,,,,,,,,
,,Categoria:,,,, TODOS,,,,,,,,,Seleção V:,,Pré-Pedido por Filial,,,,,,,,,,,
,,Departamento:,,,, TODOS,,,,,,,,,,,,,,,,,,,,,,
,,DCB:,,,, TODOS,,,,,,,,,,,,,,,,,,,,,,
,,Produto:,,,, TODOS,,,,,,,,,Período:,,04/04/2026 00:00:00 à 11/04/2026 23:59:59,,,,,,,,,,,
,,SUGESTÃO DE COMPRAS - Pelas Vendas no Período,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Saldo,,,,,,,,,,,,,,,,,,
,,Cód., Produto,,,,Labor.,"Grupo/
Curva",Saldo,Estoq,Est.,Dem.,Qtd.,Qtd.,Fat,Forn.,Custo,Custo,,Últimas Saídas,,,    Última Entrada,,,,,P
,,,,,,,,,Estoq,Rede,Mín.,,Vend.,Comp.,,,Unit.,Total,,Mês 0,Mês 1,Mês 2,Data,Custo,,Forn.,,
,,Filial:,,,, >> DROGAMAIS - PARQUE SOLEDADE,,,,,,,,,,,,,,,,,,,,,,
,,Grupo:,,,GENERICOS,,,,,,,,,,,,,,,,,,,,,,,
,,88683,AXETILCEFUROXIMA 500MG 14CP R,,,,NEO QUIMICA,4000/,-1,0,0,0,2,2,1,,68.08,136.16,,,,,,,,,,
,,88250,"AZITROMICINA 1500MG SUS 37,5ML",,,,PHARLAB,4000/,5,5,0,0,1,1,1,,21.94,21.94,,,,,,,,,,
,,84964,AZITROMICINA 500MG 3CP REV,,,,PHARLAB,4000/A,8,8,1,2,2,2,1,,3.63,7.26,,,,,,,,,,
,,57380,AZITROMICINA 500MG 3CP REV,,,,PRATI ,4000/,8,8,0,0,4,4,1,,3.15,12.6,,,,,,,,,,
,,84952,AZITROMICINA 500MG 5CP REV,,,,PHARLAB,4000/A,2,2,1,2,11,11,1,,6.65,73.15,,,,,,,,,,
,,78366,AZITROMICINA 500MG 5CP REV,,,,PRATI ,4000/,17,17,0,0,9,9,1,,6.91,62.19,,,,,,,,,,
,,78266,AZITROMICINA 600MG SUS 15ML,,,,PRATI ,4000/D,-1,0,0,0,1,1,1,,13.77,13.77,,,,,,,,,,
,,57389,"AZITROMICINA 900MG SUS 22,5ML",,,,PRATI ,4000/D,5,5,0,0,7,7,1,,16.2,113.4,,,,,,,,,,
,,21885,BACLOFENO 10MG 20CP,,,,UNIAO ,4000/,2,4,0,0,1,1,1,,4.7,4.7,,,,,,,,,,
,,57549,BENZOILMETR+NIS+BENZ CR VAG 10,,,,PRATI ,4000/D,2,2,0,0,1,1,1,,17.93,17.93,,,,,,,,,,
,,14081,BETAM+FOS BETAM INJ AMP 1ML,,,,EUROFARMA,4000/D,3,3,0,0,1,1,1,,5.75,5.75,,,,,,,,,,
,,76738,BETAM+GENT CR DERM 30G,,,,GEOLAB,4000/D,1,1,0,0,1,1,1,,7.86,7.86,,,,,,,,,,
